"ServiceName","DisplayName","PathName","StartMode","State","Vulnerabilities","ServicePermissions"
"XboxNetApiSvc","Xbox Live Networking Service","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Disabled","Stopped","Unquoted Service Path","System.Object[]"
"AarSvc_173607","Agent Activation Runtime_173607","C:\WINDOWS\system32\svchost.exe -k AarSvcGroup -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"BcastDVRUserService_173607","GameDVR and Broadcast User Service_173607","C:\WINDOWS\system32\svchost.exe -k BcastDVRUserService","Manual","Stopped","Unquoted Service Path","System.Object[]"
"BluetoothUserService_173607","Bluetooth User Support Service_173607","C:\WINDOWS\system32\svchost.exe -k BthAppGroup -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"CaptureService_173607","CaptureService_173607","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"cbdhsvc_173607","Clipboard User Service_173607","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p","Auto","Running","Unquoted Service Path","System.Object[]"
"CDPUserSvc_173607","Connected Devices Platform User Service_173607","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Auto","Running","Unquoted Service Path","System.Object[]"
"CloudBackupRestoreSvc_173607","Cloud Backup and Restore Service_173607","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Manual","Stopped","Unquoted Service Path","System.Object[]"
"ConsentUxUserSvc_173607","ConsentUX User Service_173607","C:\WINDOWS\system32\svchost.exe -k DevicesFlow","Manual","Stopped","Unquoted Service Path","System.Object[]"
"DeviceAssociationBrokerSvc_173607","DeviceAssociationBroker_173607","C:\WINDOWS\system32\svchost.exe -k DevicesFlow -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"DevicePickerUserSvc_173607","DevicePicker_173607","C:\WINDOWS\system32\svchost.exe -k DevicesFlow","Manual","Stopped","Unquoted Service Path",
"DevicesFlowUserSvc_173607","DevicesFlow_173607","C:\WINDOWS\system32\svchost.exe -k DevicesFlow","Manual","Running","Unquoted Service Path",
"MessagingService_173607","MessagingService_173607","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Manual","Stopped","Unquoted Service Path","System.Object[]"
"NPSMSvc_173607","NPSMSvc_173607","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manual","Running","Unquoted Service Path","System.Object[]"
"OneSyncSvc_173607","Sync Host_173607","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Auto","Running","Unquoted Service Path","System.Object[]"
"P9RdrService_173607","P9RdrService_173607","C:\WINDOWS\system32\svchost.exe -k P9RdrService -p","Manual","Stopped","Unquoted Service Path","System.Object[]"
"PenService_173607","PenService_173607","C:\WINDOWS\system32\svchost.exe -k PenService","Manual","Stopped","Unquoted Service Path","System.Object[]"
"PimIndexMaintenanceSvc_173607","Contact Data_173607","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Manual","Stopped","Unquoted Service Path","System.Object[]"
"PrintWorkflowUserSvc_173607","PrintWorkflow_173607","C:\WINDOWS\system32\svchost.exe -k PrintWorkflow","Manual","Stopped","Unquoted Service Path",
"UdkUserSvc_173607","Udk User Service_173607","C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup","Manual","Running","Unquoted Service Path","System.Object[]"
"UnistoreSvc_173607","User Data Storage_173607","C:\WINDOWS\System32\svchost.exe -k UnistackSvcGroup","Manual","Stopped","Unquoted Service Path","System.Object[]"
"UserDataSvc_173607","User Data Access_173607","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Manual","Stopped","Unquoted Service Path","System.Object[]"
"webthreatdefusersvc_173607","Web Threat Defense User Service_173607","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Auto","Running","Unquoted Service Path","System.Object[]"
"WpnUserService_173607","Windows Push Notifications User Service_173607","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","Auto","Running","Unquoted Service Path","System.Object[]"
"UIFlowLogShipper","Power Automate log shipper service","""C:\Program Files (x86)\Power Automate Desktop\Microsoft.Flow.RPA.LogShipper.exe""","Auto","Running","Vulnerable Service Permissions","System.Object[]"
"UIFlowService","Power Automate service","""C:\Program Files (x86)\Power Automate Desktop\UIFlowService.exe""","Auto","Running","Vulnerable Service Permissions","System.Object[]"
"UIFlowAgentLauncherService","Power Automate agent launcher service","""C:\Program Files (x86)\Power Automate Desktop\Microsoft.Flow.RPA.LauncherService.exe""","Auto","Running","Vulnerable Service Permissions","System.Object[]"
